TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
Kolkata +259 more,,
1k-5k Employees,Public,40 years old
5k-10k Employees,Startup,11 years old
5k-10k Employees,15 years old,Bhubaneswar +266 more
1k-5k Employees,36 years old,West Palm Beach +8 more
1k-5k Employees,28 years old,Mumbai +19 more
10k-50k Employees,Public,127 years old
1k-5k Employees,Public,26 years old
1k-5k Employees,23 years old,Chennai +14 more
1k-5k Employees,36 years old,Falls Church +11 more
1k-5k Employees,Public,20 years old
1k-5k Employees,Public,32 years old
10k-50k Employees,Public,46 years old
10k-50k Employees,Public,83 years old
50k-1 Lakh Employees,Public,118 years old
1k-5k Employees,Public,63 years old
1k-5k Employees,12 years old,Mohali +40 more
5k-10k Employees,Forbes Global 2000,99 years old
10k-50k Employees,Forbes Global 2000,132 years old
5k-10k Employees,31 years old,Newtown +18 more
1k-5k Employees,38 years old,Blue Bell +13 more
5k-10k Employees,Public,20 years old
5k-10k Employees,Forbes Global 2000,17 years old
1k-5k Employees,18 years old,Houston +12 more
1k-5k Employees,Public,25 years old
10k-50k Employees,Chennai +28 more,
1k-5k Employees,Public,7 years old
1k-5k Employees,23 years old,Mumbai +26 more
,,
1k-5k Employees,Public,24 years old
1k-5k Employees,Public,36 years old
1k-5k Employees,Forbes Global 2000,14 years old
1k-5k Employees,Public,79 years old
1k-5k Employees,24 years old,Schaffhausen +11 more
1k-5k Employees,Indian Unicorn,9 years old
1k-5k Employees,Public,33 years old
1k-5k Employees,19 years old,Noida +77 more
1k-5k Employees,Indian Unicorn,26 years old
1k-5k Employees,59 years old,Mumbai +134 more
5k-10k Employees,25 years old,Gurgaon/Gurugram +115 more
1k-5k Employees,53 years old,Morelia +52 more
201-500 Employees,Public,50 years old
1k-5k Employees,Public,80 years old
1k-5k Employees,Forbes Global 2000,21 years old
5k-10k Employees,24 years old,Gurgaon/Gurugram +234 more
5k-10k Employees,Public,77 years old
Hyderabad / Secunderabad +17 more,,
5k-10k Employees,30 years old,Bangalore/Bengaluru +187 more
1k-5k Employees,Public,32 years old
501-1k Employees,17 years old,Mumbai +116 more
5k-10k Employees,Forbes Global 2000,125 years old
5k-10k Employees,77 years old,Noida +81 more
1 Lakh+ Employees,Fortune India 500,130 years old
5k-10k Employees,Forbes Global 2000,135 years old
1k-5k Employees (Global),Startup,12 years old
1k-5k Employees,18 years old,Mumbai +215 more
10k-50k Employees,Bangalore Rural +19 more,
1k-5k Employees,Forbes Global 2000,67 years old
10k-50k Employees,Indian Unicorn,5 years old
1k-5k Employees,Indian Unicorn,9 years old
5k-10k Employees,Public,84 years old
5k-10k Employees,Public,35 years old
5k-10k Employees,Forbes Global 2000,101 years old
1k-5k Employees,Public,56 years old
10k-50k Employees,Public,33 years old
1k-5k Employees,Public,57 years old
501-1k Employees,49 years old,Brande +77 more
5k-10k Employees,Forbes Global 2000,26 years old
50k-1 Lakh Employees,27 years old,Pune +90 more
1k-5k Employees,9 years old,Mumbai +183 more
1k-5k Employees,Public,101 years old
5k-10k Employees,21 years old,New York +18 more
5k-10k Employees,16 years old,Mumbai +151 more
201-500 Employees,Public,21 years old
1k-5k Employees,22 years old,Mumbai +100 more
1k-5k Employees,Forbes Global 2000,177 years old
1k-5k Employees,Startup,7 years old
1k-5k Employees,Public,8 years old
5k-10k Employees,10 years old,Miami +89 more
10k-50k Employees,Public,68 years old
50k-1 Lakh Employees,Forbes Global 2000,29 years old
1k-5k Employees,Public,77 years old
10k-50k Employees,50 years old,Taipei +38 more
1k-5k Employees,30 years old,Mumbai +15 more
51-200 Employees (Global),Mumbai +89 more,
1k-5k Employees,Public,25 years old
1k-5k Employees,Public,38 years old
1k-5k Employees,32 years old,Lucknow +70 more
1k-5k Employees,Public,61 years old
1k-5k Employees,17 years old,Bangalore/Bengaluru +9 more
1k-5k Employees,9 years old,Delhi/NCR +185 more
1k-5k Employees,Forbes Global 2000,79 years old
10k-50k Employees,Public,45 years old
1k-5k Employees,Public,77 years old
5k-10k Employees,Forbes Global 2000,17 years old
5k-10k Employees,22 years old,Bridgewater +24 more
1k-5k Employees,9 years old,Gurgaon +51 more
1k-5k Employees,Fortune India 500,37 years old
1k-5k Employees,24 years old,Mumbai +16 more
1k-5k Employees,112 years old,Pune +59 more
5k-10k Employees,Fortune India 500,39 years old
5k-10k Employees,Pune +60 more,
5k-10k Employees,25 years old,Bangalore/Bengaluru +17 more
1k-5k Employees,36 years old,Gurgaon/Gurugram +110 more
1k-5k Employees,20 years old,Mumbai +27 more
1k-5k Employees,22 years old,Thane +18 more
501-1k Employees,Public,15 years old
1k-5k Employees,Public,31 years old
1k-5k Employees,17 years old,Lucknow +140 more
5k-10k Employees,13 years old,Lagos +33 more
1k-5k Employees,26 years old,Princeton +21 more
1k-5k Employees,Fortune India 500,40 years old
10k-50k Employees,Public,25 years old
1k-5k Employees,Public,26 years old
1k-5k Employees,Forbes Global 2000,23 years old
1k-5k Employees,14 years old,Bangalore/Bengaluru +32 more
1k-5k Employees,Public,72 years old
1k-5k Employees,Forbes Global 2000,84 years old
1k-5k Employees,Neemrana +31 more,
1k-5k Employees,Startup,19 years old
5k-10k Employees,43 years old,Chennai +65 more
5k-10k Employees,153 years old,Lower Saxony +19 more
1k-5k Employees,34 years old,Los Gatos +15 more
5k-10k Employees,16 years old,London +34 more
1k-5k Employees,15 years old,Mumbai +175 more
1k-5k Employees,Indian Unicorn,9 years old
501-1k Employees,Public,62 years old
5k-10k Employees,30 years old,Mumbai +62 more
5k-10k Employees,Public,113 years old
501-1k Employees,38 years old,Gurgaon +66 more
5k-10k Employees,Navi Mumbai +66 more,
1k-5k Employees,140 years old,Pontedera +66 more
1k-5k Employees,12 years old,Mumbai +26 more
5k-10k Employees,Public,38 years old
10k-50k Employees,68 years old,Delhi/NCR +50 more
1k-5k Employees,Public,23 years old
50k-1 Lakh Employees,Central,24 years old
1k-5k Employees,97 years old,Bethesda +38 more
1k-5k Employees,Public,34 years old
1k-5k Employees,27 years old,London +81 more
1k-5k Employees,Public,36 years old
1k-5k Employees,Public,25 years old
1k-5k Employees,Chennai +45 more,
1k-5k Employees,100 years old,Mumbai +66 more
1k-5k Employees,158 years old,Munich +92 more
1k-5k Employees,104 years old,Thrissur/Trichur +152 more
10k-50k Employees,64 years old,Gurgaon +83 more
10k-50k Employees,76 years old,Mumbai +119 more
51-200 Employees,New Delhi +3 more,
1k-5k Employees,Forbes Global 2000,83 years old
5k-10k Employees,Public,42 years old
1k-5k Employees,Conglomerate,15 years old
5k-10k Employees,Conglomerate,46 years old
1k-5k Employees,Public,161 years old
5k-10k Employees,Public,27 years old
1k-5k Employees,Forbes Global 2000,12 years old
1k-5k Employees,24 years old,Bangalore/Bengaluru +10 more
10k-50k Employees,Bangalore / Bengaluru +261 more,
5k-10k Employees,53 years old,North Sydney +41 more
1k-5k Employees,43 years old,Jermyn Street +37 more
1k-5k Employees,28 years old,Santa Clara +15 more
1k-5k Employees,Public,27 years old
201-500 Employees,26 years old,Mumbai +29 more
1k-5k Employees,Public,31 years old
1k-5k Employees,48 years old,Chennai +56 more
1k-5k Employees,40 years old,Chicago +16 more
1k-5k Employees,18 years old,Chennai +225 more
5k-10k Employees,36 years old,Hook +39 more
1k-5k Employees,16 years old,Mumbai +46 more
5k-10k Employees,Public,54 years old
1k-5k Employees,Public,38 years old
1k-5k Employees,101 years old,New York City +72 more
501-1k Employees,46 years old,Al Jubail +43 more
5k-10k Employees,97 years old,Mumbai +105 more
1k-5k Employees,Public,28 years old
1k-5k Employees,24 years old,Mumbai +21 more
5k-10k Employees,Forbes Global 2000,138 years old
1k-5k Employees,Conglomerate,19 years old
201-500 Employees,Bangalore / Bengaluru +85 more,
1k-5k Employees,26 years old,Saint Petersburg +50 more
201-500 Employees,Public,34 years old
1k-5k Employees,17 years old,Noida +26 more
1k-5k Employees,Indian Unicorn,9 years old
1k-5k Employees,18 years old,Gardena +13 more
1k-5k Employees,48 years old,Lille +63 more
5k-10k Employees,24 years old,Navi Mumbai +16 more
501-1k Employees,Startup,5 years old
5k-10k Employees,19 years old,Mumbai +275 more
1k-5k Employees,33 years old,Waterloo +8 more
1k-5k Employees,Fortune India 500,18 years old
1k-5k Employees,Public,42 years old
1k-5k Employees,18 years old,New York +10 more
50k-1 Lakh Employees,38 years old,Hyderabad/Secunderabad +83 more
1k-5k Employees,Public,78 years old
5k-10k Employees,Public,25 years old
1k-5k Employees,14 years old,Gurgaon +111 more
1k-5k Employees,16 years old,Pune +120 more
10k-50k Employees,Public,61 years old
501-1k Employees,Public,8 years old
1k-5k Employees,Public,33 years old
5k-10k Employees,24 years old,Pune +76 more
51-200 Employees,Hyderabad / Secunderabad +113 more,
1k-5k Employees,42 years old,Massachusetts +12 more
1k-5k Employees,Startup,12 years old
1k-5k Employees,Public,46 years old
1k-5k Employees,35 years old,Hyderabad/Secunderabad +126 more
1k-5k Employees,12 years old,Southfield +10 more
1k-5k Employees,Forbes Global 2000,23 years old
1k-5k Employees,Public,39 years old
10k-50k Employees,19 years old,Delhi/NCR +153 more
5k-10k Employees,18 years old,Bangalore/Bengaluru +69 more
1k-5k Employees,64 years old,Delhi/NCR +30 more
1k-5k Employees,Forbes Global 2000,77 years old
501-1k Employees,13 years old,Las Vegas +35 more
1k-5k Employees,Public,60 years old
51-200 Employees,12 years old,Delhi/NCR +63 more
5k-10k Employees,Public,34 years old
1k-5k Employees,Forbes Global 2000,101 years old
1k-5k Employees,Public,63 years old
501-1k Employees,25 years old,Pune +30 more
10k-50k Employees,Public,56 years old
1k-5k Employees,13 years old,Mumbai +114 more
5k-10k Employees,14 years old,Panchkula +32 more
1k-5k Employees,Bangalore / Bengaluru +24 more,
5k-10k Employees,Fortune India 500,35 years old
5k-10k Employees,Public,16 years old
1k-5k Employees,24 years old,Sunrise +7 more
1k-5k Employees,14 years old,Bengaluru/Bangalore +165 more
5k-10k Employees,Public,22 years old
1k-5k Employees,22 years old,Noida +69 more
1k-5k Employees,25 years old,Delhi/NCR +102 more
1k-5k Employees,Public,23 years old
1k-5k Employees,Forbes Global 2000,143 years old
1k-5k Employees,Forbes Global 2000,7 years old
1k-5k Employees,Public,12 years old
1k-5k Employees,Forbes Global 2000,63 years old
5k-10k Employees,14 years old,Mohali +84 more
1k-5k Employees,7 years old,Paris +40 more
Fortune India 500,18 years old,Hyderabad +83 more
1k-5k Employees,13 years old,Lisle +5 more
1k-5k Employees,13 years old,Gurgaon +73 more
1k-5k Employees,Conglomerate,77 years old
201-500 Employees,19 years old,New York +26 more
1k-5k Employees,10 years old,Edison +11 more
1k-5k Employees,Public,58 years old
501-1k Employees,65 years old,Mumbai +47 more
1k-5k Employees,31 years old,Delhi/NCR +37 more
Pune +9 more,,
1k-5k Employees,8 years old,Bengaluru +189 more
10k-50k Employees,9 years old,Ernakulam +227 more
5k-10k Employees,Public,28 years old
1k-5k Employees,Public,28 years old
1k-5k Employees,25 years old,Clark +9 more
1k-5k Employees,Public,13 years old
10k-50k Employees,Forbes Global 2000,28 years old
1k-5k Employees,Indian Unicorn,16 years old
1k-5k Employees,29 years old,Essen +65 more
1k-5k Employees,73 years old,Gerlingen +21 more
1k-5k Employees,Public,38 years old
201-500 Employees,21 years old,Brantford +13 more
5k-10k Employees,34 years old,Gurgaon/Gurugram +120 more
1k-5k Employees,41 years old,Hanover +13 more
10k-50k Employees,17 years old,Mumbai +124 more
1k-5k Employees,28 years old,Noida +39 more
1k-5k Employees,13 years old,Bangalore +108 more
1k-5k Employees,29 years old,Ontario +32 more
1k-5k Employees,Public,136 years old
1k-5k Employees,66 years old,Plano +104 more
1k-5k Employees,Public,87 years old
501-1k Employees,Startup,7 years old
501-1k Employees,Public,109 years old
1k-5k Employees,Public,12 years old
1k-5k Employees,Public,75 years old
1k-5k Employees,Public,55 years old
1k-5k Employees,22 years old,London +12 more
10k-50k Employees,Public,26 years old
5k-10k Employees,78 years old,Boston +14 more
5k-10k Employees,Public,108 years old
1k-5k Employees,Public,37 years old
1k-5k Employees,Public,85 years old
1k-5k Employees,24 years old,Basel +136 more
201-500 Employees,31 years old,Kolkata +75 more
1k-5k Employees,Public,30 years old
1k-5k Employees,Public,27 years old
1k-5k Employees,Public,43 years old
1k-5k Employees,Public,59 years old
1k-5k Employees,20 years old,Kolkata +25 more
1k-5k Employees,Public,21 years old
1k-5k Employees,12 years old,Mumbai +142 more
5k-10k Employees,Forbes Global 2000,43 years old
1k-5k Employees,Public,49 years old
1k-5k Employees,142 years old,Copenhagen +19 more
1k-5k Employees,Public,70 years old
1k-5k Employees,24 years old,Dallas +8 more
1k-5k Employees,Public,53 years old
1k-5k Employees,Indian Unicorn,6 years old
1k-5k Employees,Public,62 years old
1k-5k Employees,57 years old,Chennai +79 more
1k-5k Employees,Forbes Global 2000,26 years old
1k-5k Employees,13 years old,Iselin +10 more
10k-50k Employees,14 years old,Delhi +199 more
1k-5k Employees,17 years old,Hyderabad/Secunderabad +81 more
501-1k Employees,Public,25 years old
1k-5k Employees,19 years old,Gurgaon/Gurugram +99 more
1k-5k Employees,Public,18 years old
10k-50k Employees,45 years old,Mumbai +123 more
1k-5k Employees,25 years old,Westborough +13 more
1k-5k Employees,25 years old,Westborough +13 more
1k-5k Employees,29 years old,Cranbury +10 more
1k-5k Employees,20 years old,Nasik/Nashik +26 more
1k-5k Employees,23 years old,Lainate +122 more
5k-10k Employees,Public,24 years old
1k-5k Employees,Forbes Global 2000,33 years old
10k-50k Employees,Fortune India 500,34 years old
10k-50k Employees,Central,94 years old
1k-5k Employees,12 years old,Hyderabad/Secunderabad +39 more
1k-5k Employees,14 years old,Noida +15 more
1k-5k Employees,19 years old,Stuttgart +25 more
16 years old,Chennai +54 more,
1k-5k Employees,36 years old,Mumbai +18 more
1k-5k Employees,Forbes Global 2000,45 years old
1k-5k Employees,24 years old,New York +24 more
1k-5k Employees,21 years old,Jharsuguda +31 more
1k-5k Employees,Public,37 years old
5k-10k Employees,Public,105 years old
Gurgaon / Gurugram +22 more,,
1k-5k Employees,26 years old,Bangalore/Bengaluru +19 more
501-1k Employees,12 years old,Kolkata +14 more
1k-5k Employees,Gurgaon / Gurugram +17 more,
1k-5k Employees,31 years old,New Delhi +132 more
1k-5k Employees,36 years old,Chennai +126 more
5k-10k Employees,58 years old,Delhi/NCR +47 more
5k-10k Employees,18 years old,Kolkata +105 more
1k-5k Employees,Startup,8 years old
5k-10k Employees,27 years old,Chennai +55 more
1k-5k Employees,Forbes Global 2000,49 years old
1k-5k Employees,Startup,9 years old
1k-5k Employees,25 years old,Chennai +11 more
1k-5k Employees,24 years old,Paris +13 more
1k-5k Employees,41 years old,Ahmedabad +66 more
1k-5k Employees,14 years old,Mumbai +31 more
1k-5k Employees,19 years old,El Dorado Hills +14 more
10k-50k Employees,26 years old,Chennai +41 more
1k-5k Employees,Public,143 years old
7 years old,Ahmedabad +10 more,
1k-5k Employees,26 years old,Chennai +9 more
1k-5k Employees,Conglomerate,44 years old
1k-5k Employees,Public,15 years old
501-1k Employees,41 years old,Gurgaon +30 more
1k-5k Employees,Indian Unicorn,20 years old
1k-5k Employees,171 years old,Farmington +60 more
1k-5k Employees,7 years old,Mumbai +153 more
10k-50k Employees,28 years old,Chennai +21 more
1k-5k Employees,Startup,11 years old
1k-5k Employees,63 years old,Coimbatore +56 more
501-1k Employees,19 years old,Gurgaon/Gurugram +71 more
501-1k Employees,35 years old,Ghaziabad +23 more
501-1k Employees,Public,27 years old
5k-10k Employees,Public,39 years old
1k-5k Employees,10 years old,Gurgaon +116 more
10k-50k Employees,23 years old,Chennai +11 more
1k-5k Employees,16 years old,Jaipur +156 more
1k-5k Employees,Public,78 years old
50k-1 Lakh Employees,Fortune India 500,118 years old
1k-5k Employees,9 years old,Mumbai +86 more
1k-5k Employees,Forbes Global 2000,328 years old
1k-5k Employees,27 years old,Hamamatsu-shi +101 more
1k-5k Employees,27 years old,Hamamatsu-shi +101 more
1k-5k Employees,Forbes Global 2000,8 years old
51-200 Employees (Global),Startup,8 years old
1k-5k Employees,36 years old,Pune +28 more
10k-50k Employees,Public,93 years old
1k-5k Employees,89 years old,Espoo +32 more
