COMPANY NAME,RATING,REVIEWS,INDUSTRY,INDIA HQ,BRANCHES,PACKAGE,Highly_rated_for,Critically_rated_for
Pidilite Industries,4.2,(3.6k),Chemicals,Mumbai,294 other locations,11.1k,"Job Security, Skill Development / Learning, Salary & Benefits",
Kogta Financial India Limited,4.7,(3.6k),NBFC,Jaipur,245 other locations,1.7k,Salary & Benefits,"Company Culture, Job Security"
Automatic Data Processing (ADP),3.9,(3.6k),Software Product,Hyderabad / Secunderabad,39 other locations,21.5k,Job Security,
Escorts Kubota Limited,4.1,(3.5k),Automobile,Faridabad,149 other locations,12.9k,"Job Security, Skill Development / Learning, Salary & Benefits",
Sodexo,4,(3.5k),Facility Management Services,Mumbai,154 other locations,9.8k,"Job Security, Company Culture, Work Life Balance",
PNB MetLife,3.4,(3.5k),Insurance,New Delhi,410 other locations,7.9k,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Maersk,4,(3.5k),Logistics,Chennai,48 other locations,18.4k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Aditya Birla Sun Life Insurance,4,(3.5k),Insurance,Mumbai,473 other locations,9.7k,"Company Culture, Work Life Balance, Job Security",
Samvardhana Motherson Group,3.7,(3.5k),Auto Components,Noida,91 other locations,12.2k,"Skill Development / Learning, Job Security",Promotions / Appraisal
Godrej & Boyce Manufacturing,3.9,(3.5k),Consumer Electronics & Appliances,Mumbai,158 other locations,14.7k,"Job Security, Work Life Balance, Company Culture",
Dabur,3.9,(3.5k),FMCG,New Delhi,312 other locations,8.6k,"Job Security, Company Culture, Work Life Balance",
Abbott,4.1,(3.5k),Pharma,Mumbai,209 other locations,11.4k,"Promotions / Appraisal, Salary & Benefits",
Synechron,3.5,(3.5k),IT Services & Consulting,Pune,31 other locations,27.3k,"Job Security, Work Life Balance, Skill Development / Learning",
Birlasoft,3.5,(3.5k),IT Services & Consulting,Pune,48 other locations,29.3k,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Cogent E Services,3.1,(3.5k),BPO,Noida,55 other locations,9.9k,"Company Culture, Work Life Balance, Work Satisfaction",
Bharat Electronics,4.2,(3.5k),Electronics Manufacturing,Bangalore / Bengaluru,86 other locations,12.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Glenmark Pharmaceuticals,3.8,(3.4k),Pharma,Mumbai,173 other locations,11.7k,"Job Security, Company Culture, Work Life Balance",
Kyndryl,3.9,(3.5k),IT Services & Consulting,Bangalore / Bengaluru,36 other locations,25k,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Grasim Industries,4,(3.4k),Building Material,Bharuch,230 other locations,12.5k,"Job Security, Company Culture, Work Life Balance",
Tata Capital,4,(3.4k),NBFC,Mumbai,329 other locations,10.8k,Promotions / Appraisal,
Kotak Mahindara Life Insurance,3.6,(3.4k),Insurance,Mumbai,248 other locations,12.5k,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Aarti Industries,4,(3.4k),Agro Chemicals,Bharuch,57 other locations,13.9k,"Job Security, Salary & Benefits, Company Culture",
JK Cement,4,(3.4k),Building Material,New Delhi,314 other locations,9.5k,"Work Life Balance, Promotions / Appraisal, Company Culture",
Indian Oil Corporation,4.4,(3.4k),Oil & Gas,New Delhi,302 other locations,7.6k,Promotions / Appraisal,
KPIT Technologies,3,(3.4k),Software Product,Pune,42 other locations,22.1k,,
Ipca Laboratories,3.9,(3.4k),Pharma,Mumbai,154 other locations,11.5k,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
Reliance Projects & Property Management Services,4,(3.4k),IT Services & Consulting,Kolkata,600 other locations,7k,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
"NTT DATA, Inc.",3.9,(3.3k),IT Services & Consulting,Bangalore / Bengaluru,32 other locations,21.3k,"Job Security, Work Satisfaction, Promotions / Appraisal",
Johnson Controls,3.5,(3.3k),Industrial Automation,Pune,54 other locations,16.6k,"Skill Development / Learning, Company Culture, Work Life Balance",
Alkem Laboratories,3.9,(3.3k),Pharma,Mumbai,192 other locations,9.5k,Job Security,Promotions / Appraisal
MRF Tyres,3.6,(3.3k),Auto Components,Chennai,191 other locations,12.2k,"Job Security, Skill Development / Learning, Company Culture",
Reliance Digital,4.1,(3.3k),Retail,Mumbai,369 other locations,7.9k,Job Security,"Promotions / Appraisal, Salary & Benefits"
IGT Solutions,3.3,(3.3k),IT Services & Consulting,New Delhi,48 other locations,13.2k,"Skill Development / Learning, Company Culture, Work Life Balance",
Ford Motor,4.2,(3.3k),Automobile,Chennai,128 other locations,14.7k,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Honda Motorcycle & Scooter,4.1,(3.3k),Automobile,Gurgaon / Gurugram,287 other locations,10.7k,"Skill Development / Learning, Salary & Benefits",
UBS,3.9,(3.3k),Financial Services,Pune,19 other locations,30.7k,Job Security,
Vishal Mega Mart,3.7,(3.3k),Retail,New Delhi,363 other locations,6.1k,Promotions / Appraisal,
24/7 Customer,3.4,(3.2k),Software Product,Bangalore / Bengaluru,36 other locations,11.4k,Promotions / Appraisal,
Hindustan Coca Cola Beverages,4,(3.2k),Beverage,Bangalore / Bengaluru,253 other locations,7.5k,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Ceat Tyres,3.9,(3.2k),Auto Components,Nagpur,137 other locations,12.5k,"Salary & Benefits, Company Culture, Job Security",
Reliance Nippon Life Insurance,3.4,(3.2k),Insurance,Mumbai,477 other locations,8.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
DTDC Express,3.7,(3.2k),Logistics,New Delhi,264 other locations,8.3k,"Job Security, Company Culture, Skill Development / Learning",
HARMAN,3.8,(3.2k),Consumer Electronics & Appliances,Bangalore / Bengaluru,38 other locations,23.9k,"Salary & Benefits, Skill Development / Learning, Company Culture",Job Security
ABB,4.1,(3.2k),Industrial Machinery,Bangalore / Bengaluru,106 other locations,16.9k,Promotions / Appraisal,
ArcelorMittal Nippon Steel,4.1,(3.2k),Iron & Steel,Surat,82 other locations,11.1k,"Promotions / Appraisal, Salary & Benefits",
Indian Air Force,4.6,(3.2k),Defence & Aerospace,New Delhi,131 other locations,5.1k,Work Life Balance,Promotions / Appraisal
NatWest Group,4,(3.1k),Banking,Gurgaon / Gurugram,27 other locations,20.2k,Promotions / Appraisal,
PhonePe,4,(3.1k),FinTech,Bangalore / Bengaluru,367 other locations,12k,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
RSPL Group,4.1,(3.1k),FMCG,Kanpur,246 other locations,9.3k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
UNO Minda,4,(3.1k),Auto Components,Pune,105 other locations,10.5k,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Barclays,3.7,(3.1k),Banking,Pune,36 other locations,29.3k,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
Marpu Foundation,4.8,(3.1k),Non-Profit,Hyderabad / Secunderabad,58 other locations,55,"Job Security, Company Culture, Skill Development / Learning",
InterGlobe Aviation,3.5,(3.1k),Aviation,New Delhi,100 other locations,13.3k,"Promotions / Appraisal, Work Satisfaction, Job Security",
GeBBS Healthcare Solutions,3.7,(3.1k),Healthcare,Mumbai,26 other locations,11.2k,"Job Security, Skill Development / Learning, Work Life Balance",
Conduent,3.4,(3.1k),BPO,Bangalore / Bengaluru,34 other locations,16.7k,"Company Culture, Work Life Balance, Job Security",
AGS Health,4,(3.1k),IT Services & Consulting,Chennai,58 other locations,13.7k,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Tata Technologies,3.4,(3.1k),Engineering & Construction,Pune,53 other locations,21.9k,"Skill Development / Learning, Work Satisfaction",
Alstom Transportation,3.7,(3k),Engineering & Construction,Bangalore / Bengaluru,75 other locations,14.1k,"Company Culture, Job Security, Skill Development / Learning",
Future Group,4.2,(3k),Retail,Mumbai,205 other locations,6.9k,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Tata AIG,4,(3k),Insurance,Mumbai,254 other locations,11.2k,"Job Security, Skill Development / Learning, Work Life Balance",
TVS Credit Services Ltd,4.2,(3k),NBFC,Chennai,413 other locations,7.1k,"Skill Development / Learning, Company Culture, Work Life Balance",
Max Healthcare,3.9,(3k),Healthcare,New Delhi,76 other locations,10.1k,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Cloudnine Hospital,4.5,(3k),Healthcare,Bangalore / Bengaluru,44 other locations,2.7k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
UPL,4.1,(3k),Agro Chemicals,Ankleshwar,183 other locations,10.8k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Croma,3.8,(3k),Retail,Mumbai,184 other locations,8.7k,"Salary & Benefits, Company Culture, Work Life Balance",
Dilip Buildcon,3.9,(3k),Engineering & Construction,Bhopal,222 other locations,8k,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Amazon Transportation Services,4.2,(3k),Hyderabad / Secunderabad +220 other locations,,,8.1k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Walmart,3.5,(3k),Retail,Bangalore / Bengaluru,91 other locations,21k,Job Security,Promotions / Appraisal
PepsiCo,4,(3k),Food Processing,Hyderabad / Secunderabad,267 other locations,12.5k,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Bajaj General Insurance Limited,3.8,(3k),Insurance,Pune,268 other locations,9.1k,"Job Security, Company Culture, Work Life Balance",
Titan Company,4.3,(3k),Retail,Bangalore / Bengaluru,176 other locations,9.3k,"Salary & Benefits, Job Security, Company Culture",
S&P Global,4,(2.9k),Analytics & KPO,Hyderabad / Secunderabad,46 other locations,19.6k,"Job Security, Skill Development / Learning, Company Culture",
Varroc Group,3.6,(2.9k),Auto Components,Pune,60 other locations,9.3k,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Mankind Pharma,3.8,(2.9k),Pharma,New Delhi,236 other locations,9.1k,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Blinkit,3.7,(2.9k),Internet,Gurgaon / Gurugram,131 other locations,11.3k,"Salary & Benefits, Skill Development / Learning, Job Security",
CMS IT Services,3,(2.9k),IT Services & Consulting,Mumbai,152 other locations,9.5k,"Skill Development / Learning, Salary & Benefits",
Societe Generale Global Solution Centre,3.7,(2.9k),IT Services & Consulting,Bangalore / Bengaluru,24 other locations,22k,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Afcons Infrastructure,4.2,(2.9k),Engineering & Construction,Mumbai,118 other locations,8.3k,Work Life Balance,Promotions / Appraisal
MSN Laboratories,3.6,(2.9k),Pharma,Hyderabad / Secunderabad,99 other locations,9.2k,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Torrent Pharmaceuticals,4,(2.9k),Pharma,Ahmedabad,124 other locations,10.1k,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Square Yards,3.7,(2.8k),Internet,Gurgaon / Gurugram,49 other locations,9k,"Salary & Benefits, Skill Development / Learning",Job Security
Jindal Stainless,4.2,(2.8k),Iron & Steel,Jajpur,74 other locations,11k,"Skill Development / Learning, Company Culture, Work Satisfaction",
I Process Services,3.9,(2.8k),Recruitment,Mumbai,398 other locations,5.3k,"Skill Development / Learning, Job Security, Company Culture",
Zensar Technologies,3.7,(2.8k),IT Services & Consulting,Pune,29 other locations,25.1k,Job Security,Promotions / Appraisal
ACC,3.9,(2.8k),Building Material,Mumbai,260 other locations,9k,"Skill Development / Learning, Company Culture, Job Security",
HDFC Sales,3.9,(2.8k),Financial Services,Mumbai,332 other locations,8.1k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Quest Global,3.5,(2.8k),IT Services & Consulting,Bangalore / Bengaluru,45 other locations,20.2k,"Skill Development / Learning, Company Culture, Job Security",
Shoppers Stop,4,(2.8k),Retail,Mumbai,83 other locations,6.9k,"Job Security, Company Culture, Skill Development / Learning",
Nokia,4,(2.8k),Telecom,Bangalore / Bengaluru,165 other locations,15.6k,"Job Security, Promotions / Appraisal, Work Satisfaction",
Fujitsu,3.8,(2.8k),IT Services & Consulting,Pune,39 other locations,16.9k,"Promotions / Appraisal, Salary & Benefits",
UnitedHealth,4,(2.8k),Healthcare,Hyderabad / Secunderabad,17 other locations,14.8k,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
IDFC FIRST Bharat,4.2,(2.8k),Financial Services,Chennai,396 other locations,5.1k,"Job Security, Skill Development / Learning, Company Culture",
Suzlon Group,4,(2.7k),Power,Pune,134 other locations,7.5k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Apollo Tyres,4,(2.7k),Auto Components,Chennai,176 other locations,9.6k,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
DS Group,4.1,(2.7k),FMCG,Noida,272 other locations,7.4k,"Salary & Benefits, Job Security, Skill Development / Learning",
Eternal Limited,3.6,(2.7k),Internet,Gurgaon / Gurugram,215 other locations,13.7k,"Skill Development / Learning, Company Culture, Work Life Balance",
Fiserv,2.8,(2.7k),FinTech,Pune,32 other locations,17.6k,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
Whitehat jr,3.3,(2.7k),EdTech,Mumbai,49 other locations,9.5k,"Job Security, Skill Development / Learning, Company Culture",
Tata Elxsi,3.6,(2.7k),IT Services & Consulting,Bangalore / Bengaluru,30 other locations,21.5k,"Job Security, Company Culture, Skill Development / Learning",
Indus Towers,3.6,(2.7k),Hardware & Networking,Gurgaon / Gurugram,224 other locations,8.7k,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
ESAF Small Finance Bank,3.6,(2.7k),Banking,Thrissur,426 other locations,7.3k,"Company Culture, Work Life Balance, Job Security",
IKS Health,3.5,(2.7k),Healthcare,Mumbai,30 other locations,10.7k,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
VVDN Technologies,3.6,(2.7k),IT Services & Consulting,Gurgaon / Gurugram,49 other locations,12.9k,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Yazaki,3.9,(2.7k),Auto Components,Pune,90 other locations,8.6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Landmark Group,3.9,(2.6k),Retail,Bangalore / Bengaluru,165 other locations,9k,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Shree Cement,3.8,(2.6k),Building Material,Beawar,244 other locations,9.5k,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Flex,3.9,(2.6k),Electronics Manufacturing,Chennai,46 other locations,15.9k,"Skill Development / Learning, Job Security, Company Culture",
Britannia,4,(2.6k),FMCG,Pune,291 other locations,8k,Salary & Benefits,"Job Security, Promotions / Appraisal"
Capita,3.5,(2.6k),IT Services & Consulting,Pune,32 other locations,12.9k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Blue Dart Express Ltd,3.9,(2.6k),Logistics,Mumbai,271 other locations,6.6k,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
SRF,4.1,(2.6k),Chemicals,Bharuch,66 other locations,8.6k,"Job Security, Skill Development / Learning, Company Culture",
Ola Electric Mobility,3.3,(2.6k),Automobile,Bangalore / Bengaluru,382 other locations,8.7k,Job Security,"Promotions / Appraisal, Salary & Benefits"
Shell,3.9,(2.6k),Oil & Gas,Bangalore / Bengaluru,90 other locations,13.5k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ElasticRun,3.6,(2.6k),Logistics,Pune,386 other locations,6.1k,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Exide Industries,3.4,(2.6k),Auto Components,Kolkata,198 other locations,8.3k,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Micro Labs,3.6,(2.6k),Pharma,Bangalore / Bengaluru,147 other locations,9.5k,Promotions / Appraisal,
Kansai Nerolac Paints,3.8,(2.5k),Chemicals,Mumbai,241 other locations,7.6k,"Promotions / Appraisal, Company Culture, Work Satisfaction",
KPMG Global Services,3.5,(2.5k),Management Consulting,Bangalore / Bengaluru,36 other locations,22.9k,Work Life Balance,Promotions / Appraisal
Dalmia Bharat Cement,3.9,(2.5k),Building Material,Guwahati,246 other locations,8.3k,"Job Security, Promotions / Appraisal, Company Culture",
TVS Supply Chain Solutions,3.8,(2.5k),Logistics,Chennai,149 other locations,8.3k,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Sagility,3.9,(2.5k),BPO,Bangalore / Bengaluru,26 other locations,10.2k,"Promotions / Appraisal, Salary & Benefits",
Sahrudaya Healthcare (Medicover Hospitals),4.5,(2.5k),Healthcare,Hyderabad / Secunderabad,44 other locations,3.3k,"Skill Development / Learning, Work Life Balance, Company Culture",
